date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:19	31554/31554	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:36%20GMT	https://vuighe.net/	E:/123wwed/12hay/vuighe.net/index.html	(from )
23:14:19	24/24	---M--	200	added ('OK')	text/plain	etag:%22616380fe-18%22	https://vuighe.net/robots.txt		(from )
23:14:19	318/318	---M--	200	added ('OK')	image/x-icon	etag:%226173f6e0-13e%22	https://vuighe.net/favicon.ico	E:/123wwed/12hay/vuighe.net/favicon.ico	(from https://vuighe.net/)
23:14:19	8611/8611	---M--	200	added ('OK')	image/png	etag:%225d70a754-21a3%22	https://s199.imacdn.com/web-thumbnail.png	E:/123wwed/12hay/s199.imacdn.com/web-thumbnail.png	(from https://vuighe.net/)
23:14:20	9107/9107	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Jun%202022%2016:12:37%20GMT	https://vuighe.net/video.movie	E:/123wwed/12hay/vuighe.net/video.movie	(from https://vuighe.net/)
23:14:20	78385/78385	---M--	200	added ('OK')	text/css	etag:%226283ae42-13231%22	https://vuighe.net/css/simple/home.css?id=7fa71e1bc83ad516aede	E:/123wwed/12hay/vuighe.net/css/simple/homed35b.css	(from https://vuighe.net/)
23:14:20	11436/11436	---M--	200	added ('OK')	image/png	etag:%226173f6e0-2cac%22	https://vuighe.net/assets/img/logo_v8.png	E:/123wwed/12hay/vuighe.net/assets/img/logo_v8.png	(from https://vuighe.net/)
23:14:20	22427/22427	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:37%20GMT	https://vuighe.net/page/chinh-sach-rieng-tu	E:/123wwed/12hay/vuighe.net/page/chinh-sach-rieng-tu.html	(from https://vuighe.net/)
23:14:21	34637/34637	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:38%20GMT	https://vuighe.net/anime	E:/123wwed/12hay/vuighe.net/anime.html	(from https://vuighe.net/)
23:14:21	31410/31410	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:38%20GMT	https://vuighe.net/movie	E:/123wwed/12hay/vuighe.net/movie.html	(from https://vuighe.net/)
23:14:21	42645/42645	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:38%20GMT	https://vuighe.net/tin-tuc	E:/123wwed/12hay/vuighe.net/tin-tuc.html	(from https://vuighe.net/)
23:14:22	41399/41399	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:39%20GMT	https://vuighe.net/truyen-tranh	E:/123wwed/12hay/vuighe.net/truyen-tranh.html	(from https://vuighe.net/)
23:14:22	33305/33305	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:39%20GMT	https://vuighe.net/bang-xep-hang	E:/123wwed/12hay/vuighe.net/bang-xep-hang.html	(from https://vuighe.net/)
23:14:22	9973/9973	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:39%20GMT	https://vuighe.net/quen-mat-khau	E:/123wwed/12hay/vuighe.net/quen-mat-khau.html	(from https://vuighe.net/)
23:14:22	1174/1174	---MC-	302	error ('Found')	text/html	date:Mon,%2006%20Jun%202022%2016:12:39%20GMT	https://vuighe.net/dang-nhap-facebook	E:/123wwed/12hay/vuighe.net/dang-nhap-facebook	(from https://vuighe.net/)
23:14:22	1450/1450	---MC-	302	error ('Found')	text/html	date:Mon,%2006%20Jun%202022%2016:12:40%20GMT	https://vuighe.net/dang-nhap-google	E:/123wwed/12hay/vuighe.net/dang-nhap-google	(from https://vuighe.net/)
23:14:23	18350/18350	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:40%20GMT	https://vuighe.net/summertime-render/tap-8-memento	E:/123wwed/12hay/vuighe.net/summertime-render/tap-8-memento.html	(from https://vuighe.net/)
23:14:23	19847/19847	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:40%20GMT	https://vuighe.net/komi-san-wa-comyushou-desu/tap-21-buoi-da-ngoai-ngay-thu-2	E:/123wwed/12hay/vuighe.net/komi-san-wa-comyushou-desu/tap-21-buoi-da-ngoai-ngay-thu-2.html	(from https://vuighe.net/)
23:14:23	18818/18818	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:40%20GMT	https://vuighe.net/kakkou-no-iinazuke/tap-6-cau-song-mot-minh-nhi	E:/123wwed/12hay/vuighe.net/kakkou-no-iinazuke/tap-6-cau-song-mot-minh-nhi.html	(from https://vuighe.net/)
23:14:23	18701/18701	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:41%20GMT	https://vuighe.net/spy-x-family/tap-9	E:/123wwed/12hay/vuighe.net/spy-x-family/tap-9.html	(from https://vuighe.net/)
23:14:24	19181/19181	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:41%20GMT	https://vuighe.net/tomodachi-game/tap-9-nhanh-chong-doi-phe-di	E:/123wwed/12hay/vuighe.net/tomodachi-game/tap-9-nhanh-chong-doi-phe-di.html	(from https://vuighe.net/)
23:14:24	21129/21129	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:41%20GMT	https://vuighe.net/tate-no-yuusha-no-nariagari/tap-34	E:/123wwed/12hay/vuighe.net/tate-no-yuusha-no-nariagari/tap-34.html	(from https://vuighe.net/)
23:14:24	19976/19976	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:41%20GMT	https://vuighe.net/shijou-saikyou-no-daimaou-murabito-a-ni-tensei-suru/tap-9	E:/123wwed/12hay/vuighe.net/shijou-saikyou-no-daimaou-murabito-a-ni-tensei-suru/tap-9.html	(from https://vuighe.net/)
23:14:25	20017/20017	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:42%20GMT	https://vuighe.net/dau-an-rong-thieng-2020/tap-80-chieu-tuong	E:/123wwed/12hay/vuighe.net/dau-an-rong-thieng-2020/tap-80-chieu-tuong.html	(from https://vuighe.net/)
23:14:25	66595/66595	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:42%20GMT	https://vuighe.net/tap-moi-nhat	E:/123wwed/12hay/vuighe.net/tap-moi-nhat.html	(from https://vuighe.net/)
23:14:25	18965/18965	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:42%20GMT	https://vuighe.net/kawaii-dake-ja-nai-shikimori-san/tap-8	E:/123wwed/12hay/vuighe.net/kawaii-dake-ja-nai-shikimori-san/tap-8.html	(from https://vuighe.net/)
23:14:25	19742/19742	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:42%20GMT	https://vuighe.net/otome-game-sekai-wa-mob-ni-kibishii-sekai-desu/tap-10	E:/123wwed/12hay/vuighe.net/otome-game-sekai-wa-mob-ni-kibishii-sekai-desu/tap-10.html	(from https://vuighe.net/)
23:14:25	23149/23149	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:43%20GMT	https://vuighe.net/boruto-naruto-next-generations/tap-252-mong-muon-duoc-tin-tuong	E:/123wwed/12hay/vuighe.net/boruto-naruto-next-generations/tap-252-mong-muon-duoc-tin-tuong.html	(from https://vuighe.net/)
23:14:26	21331/21331	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:43%20GMT	https://vuighe.net/rikei-ga-koi-ni-ochita-no-de-shoumei-shitemita/tap-22-nha-khoa-hoc-roi-vao-luoi-tinh-nen-thu-to-chuc-mot-le-hoi-truong	E:/123wwed/12hay/vuighe.net/rikei-ga-koi-ni-ochita-no-de-shoumei-shitemita/tap-22-nha-khoa-hoc-roi-vao-luoi-tinh-nen-thu-to-chuc-mot-le-hoi-truong.html	(from https://vuighe.net/)
23:14:26	18797/18797	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:43%20GMT	https://vuighe.net/kunoichi-tsubaki-no-mune-no-uchi/tap-9-ran-va-con-trai	E:/123wwed/12hay/vuighe.net/kunoichi-tsubaki-no-mune-no-uchi/tap-9-ran-va-con-trai.html	(from https://vuighe.net/)
23:14:26	20136/20136	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:43%20GMT	https://vuighe.net/build-divide/tap-21-tien-hau-cat-dut	E:/123wwed/12hay/vuighe.net/build-divide/tap-21-tien-hau-cat-dut.html	(from https://vuighe.net/)
23:14:27	18899/18899	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:44%20GMT	https://vuighe.net/love-all-play/tap-10-11	E:/123wwed/12hay/vuighe.net/love-all-play/tap-10-11.html	(from https://vuighe.net/)
23:14:27	21263/21263	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:44%20GMT	https://vuighe.net/kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen/tap-33	E:/123wwed/12hay/vuighe.net/kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen/tap-33.html	(from https://vuighe.net/)
23:14:27	19833/19833	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:44%20GMT	https://vuighe.net/shokei-shoujo-no-virgin-road/tap-10	E:/123wwed/12hay/vuighe.net/shokei-shoujo-no-virgin-road/tap-10.html	(from https://vuighe.net/)
23:14:27	23750/23750	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:44%20GMT	https://vuighe.net/bo-suu-tap	E:/123wwed/12hay/vuighe.net/bo-suu-tap.html	(from https://vuighe.net/)
23:14:27	45344/45344	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:45%20GMT	https://vuighe.net/bo-suu-tap/anime-mua-xuan-2022	E:/123wwed/12hay/vuighe.net/bo-suu-tap/anime-mua-xuan-2022.html	(from https://vuighe.net/)
23:14:28	42912/42912	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:45%20GMT	https://vuighe.net/bo-suu-tap/anime-mua-dong-2022	E:/123wwed/12hay/vuighe.net/bo-suu-tap/anime-mua-dong-2022.html	(from https://vuighe.net/)
23:14:28	48615/48615	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:45%20GMT	https://vuighe.net/bo-suu-tap/anime-mua-thu-2021	E:/123wwed/12hay/vuighe.net/bo-suu-tap/anime-mua-thu-2021.html	(from https://vuighe.net/)
23:14:28	43447/43447	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:46%20GMT	https://vuighe.net/bo-suu-tap/anime-mua-he-2021	E:/123wwed/12hay/vuighe.net/bo-suu-tap/anime-mua-he-2021.html	(from https://vuighe.net/)
23:14:29	30400/30400	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2016:12:46%20GMT	https://vuighe.net/hom-nay-xem-gi	E:/123wwed/12hay/vuighe.net/hom-nay-xem-gi.html	(from https://vuighe.net/)
23:14:29	108288/108288	---M--	200	added ('OK')	application/javascript	etag:%226291cf8b-1a700%22	https://vuighe.net/js/bhome.js?id=c5d30e0987c5055c2c83	E:/123wwed/12hay/vuighe.net/js/bhome7d79.js	(from https://vuighe.net/)
